well,target,removed_feature,model,n_features,features,r2_train,r2_test,elapsed_sec,formula
ZXX7,SHMAX,DTC,Linear_single,8,"['DTS', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.0492,-0.1668,0.0,-0.05987 * LLD + -575.7
ZXX7,SHMAX,DTC,Linear_multi,8,"['DTS', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.885,-40305.2429,0.0,linear_multi
ZXX7,SHMAX,DTC,RF,8,"['DTS', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.9905,-11.6671,0.5,"RF(n=300, depth=10, leaf=5)"
ZXX7,SHMAX,DTC,XGBoost,8,"['DTS', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",1.0,-12.0032,0.2,"XGB(n=300, depth=4, lr=0.05, reg)"
ZXX7,SHMAX,DTC,MLP_BP,8,"['DTS', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.9979,-77059.7446,5.4,"MLP-BP(128,64,32, adaptive_lr, ES)"
ZXX2,YMOD,DTS,Linear_single,8,"['DTC', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.6082,0.6993,0.0,-583.7 * DTC + 8.058e+04
ZXX2,YMOD,DTS,Linear_multi,8,"['DTC', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.7869,0.4062,0.0,linear_multi
ZXX2,YMOD,DTS,RF,8,"['DTC', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.9575,0.4217,0.4,"RF(n=300, depth=10, leaf=5)"
ZXX2,YMOD,DTS,XGBoost,8,"['DTC', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.9596,0.5801,0.2,"XGB(n=300, depth=4, lr=0.05, reg)"
ZXX2,YMOD,DTS,MLP_BP,8,"['DTC', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.8393,-1203.2565,5.1,"MLP-BP(128,64,32, adaptive_lr, ES)"
ZXX2,SMOD,DTS,Linear_single,8,"['DTC', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.511,0.5068,0.0,-0.2157 * DTC + 28.39
ZXX2,SMOD,DTS,Linear_multi,8,"['DTC', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.8065,0.6229,0.0,linear_multi
ZXX2,SMOD,DTS,RF,8,"['DTC', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.9616,0.1539,0.4,"RF(n=300, depth=10, leaf=5)"
ZXX2,SMOD,DTS,XGBoost,8,"['DTC', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.9637,0.2747,0.2,"XGB(n=300, depth=4, lr=0.05, reg)"
ZXX2,SMOD,DTS,MLP_BP,8,"['DTC', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.9758,-296.9918,5.1,"MLP-BP(128,64,32, adaptive_lr, ES)"
ZXX2,POIS,DTS,Linear_single,8,"['DTC', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.9844,0.8928,0.0,0.3068 * RMSC + -0.2756
ZXX2,POIS,DTS,Linear_multi,8,"['DTC', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.9871,0.5245,0.0,linear_multi
ZXX2,POIS,DTS,RF,8,"['DTC', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.9998,0.8226,0.4,"RF(n=300, depth=10, leaf=5)"
ZXX2,POIS,DTS,XGBoost,8,"['DTC', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.998,0.7743,0.2,"XGB(n=300, depth=4, lr=0.05, reg)"
