well,target,model,split,r2_train,r2_test,formula,well_desens
ZXX3,YMOD,MLP_BP,OOD,0.9888,0.6575,"MLP-BP(128,64,32, adaptive_lr, ES)",WellB
ZXX3,YMOD,Linear_multi,OOD,0.9907,-25.1552,linear_multi,WellB
ZXX3,POIS,Linear_single,OOD,0.9925,0.9571,0.3425 * RMSC + -0.3503,WellB
ZXX3,POIS,SVR_rbf,OOD,0.9974,0.1086,"SVR(rbf, {'svr__C': 1, 'svr__gamma': 0.1}, y-scaled)",WellB
ZXX3,POIS,XGBoost,OOD,0.9947,0.8428,"XGB(n=300, depth=4, lr=0.05, reg)",WellB
ZXX3,POIS,Poly3,OOD,0.9995,0.706,Poly(deg=3),WellB
ZXX3,POIS,Poly2,OOD,0.9995,0.9952,Poly(deg=2),WellB
ZXX3,POIS,RF,OOD,0.9992,0.9236,"RF(n=300, depth=10, leaf=5)",WellB
ZXX3,POIS,MLP_BP,OOD,0.9036,-22.4741,"MLP-BP(128,64,32, adaptive_lr, ES)",WellB
ZXX3,POIS,Linear_multi,OOD,0.9929,0.8344,linear_multi,WellB
ZXX2,SMOD,Linear_single,OOD,0.7701,0.5068,-0.1125 * DTS + 28.1,WellA
ZXX2,SMOD,SVR_rbf,OOD,0.9328,-0.6251,"SVR(rbf, {'svr__C': 1, 'svr__gamma': 0.1}, y-scaled)",WellA
ZXX2,SMOD,XGBoost,OOD,0.9787,0.2766,"XGB(n=300, depth=4, lr=0.05, reg)",WellA
ZXX2,SMOD,Poly3,OOD,0.9484,-33927331086128.953,Poly(deg=3),WellA
ZXX2,SMOD,Poly2,OOD,0.9192,-4484161.4991,Poly(deg=2),WellA
ZXX2,SMOD,RF,OOD,0.9802,0.2741,"RF(n=300, depth=10, leaf=5)",WellA
ZXX2,SMOD,MLP_BP,OOD,0.9883,-1418.9555,"MLP-BP(128,64,32, adaptive_lr, ES)",WellA
ZXX2,SMOD,Linear_multi,OOD,0.8739,-0.5208,linear_multi,WellA
ZXX2,SHMAX,Linear_single,OOD,0.6111,0.6782,-0.3944 * DTS + 170.8,WellA
ZXX2,SHMAX,SVR_rbf,OOD,0.8947,-1.0626,"SVR(rbf, {'svr__C': 1, 'svr__gamma': 0.1}, y-scaled)",WellA
ZXX2,SHMAX,XGBoost,OOD,0.9718,0.0468,"XGB(n=300, depth=4, lr=0.05, reg)",WellA
ZXX2,SHMAX,Poly3,OOD,0.9388,-13209640388542.727,Poly(deg=3),WellA
ZXX2,SHMAX,Poly2,OOD,0.9018,-8233869.935,Poly(deg=2),WellA
ZXX2,SHMAX,RF,OOD,0.9501,0.1404,"RF(n=300, depth=10, leaf=5)",WellA
ZXX2,SHMAX,MLP_BP,OOD,0.9646,-13459.919,"MLP-BP(128,64,32, adaptive_lr, ES)",WellA
ZXX2,SHMAX,Linear_multi,OOD,0.7982,-5.3964,linear_multi,WellA
ZXX2,YMOD,Linear_single,OOD,0.6082,0.6993,-583.7 * DTC + 8.058e+04,WellA
ZXX2,YMOD,SVR_rbf,OOD,0.9216,-0.4254,"SVR(rbf, {'svr__C': 1, 'svr__gamma': 0.1}, y-scaled)",WellA
ZXX2,YMOD,XGBoost,OOD,0.9751,0.5562,"XGB(n=300, depth=4, lr=0.05, reg)",WellA
ZXX2,YMOD,Poly3,OOD,0.9435,-37680342381096.36,Poly(deg=3),WellA
ZXX2,YMOD,Poly2,OOD,0.9117,-4864002.0202,Poly(deg=2),WellA
ZXX2,YMOD,RF,OOD,0.975,0.3668,"RF(n=300, depth=10, leaf=5)",WellA
ZXX2,YMOD,MLP_BP,OOD,0.9351,-1310.6548,"MLP-BP(128,64,32, adaptive_lr, ES)",WellA
ZXX2,YMOD,Linear_multi,OOD,0.8599,-0.5225,linear_multi,WellA
ZXX2,POIS,Linear_single,OOD,0.9844,0.8928,0.3068 * RMSC + -0.2756,WellA
ZXX2,POIS,SVR_rbf,OOD,0.9975,-0.0157,"SVR(rbf, {'svr__C': 10, 'svr__gamma': 0.1}, y-scaled)",WellA
ZXX2,POIS,XGBoost,OOD,0.998,0.7743,"XGB(n=300, depth=4, lr=0.05, reg)",WellA
ZXX2,POIS,Poly3,OOD,0.9998,-48722729062.0546,Poly(deg=3),WellA
ZXX2,POIS,Poly2,OOD,0.9997,-20207.2786,Poly(deg=2),WellA
ZXX2,POIS,RF,OOD,0.9998,0.8232,"RF(n=300, depth=10, leaf=5)",WellA
ZXX2,POIS,MLP_BP,OOD,0.9772,-42346.9369,"MLP-BP(128,64,32, adaptive_lr, ES)",WellA
ZXX2,POIS,Linear_multi,OOD,0.9873,0.2855,linear_multi,WellA
ZXX7,SMOD,Linear_single,OOD,0.9428,0.9337,-0.281 * DTS + 51.59,WellD
ZXX7,SMOD,SVR_rbf,OOD,0.9982,-0.0431,"SVR(rbf, {'svr__C': 100, 'svr__gamma': 0.1}, y-scaled)",WellD
ZXX7,SMOD,XGBoost,OOD,0.9996,0.9347,"XGB(n=300, depth=4, lr=0.05, reg)",WellD
ZXX7,SMOD,Poly3,OOD,0.9996,-869503419487.4015,Poly(deg=3),WellD
ZXX7,SMOD,Poly2,OOD,0.9996,-261180.0101,Poly(deg=2),WellD
ZXX7,SMOD,RF,OOD,0.9987,0.9372,"RF(n=300, depth=10, leaf=5)",WellD
ZXX7,SMOD,MLP_BP,OOD,0.9985,-511.8566,"MLP-BP(128,64,32, adaptive_lr, ES)",WellD
ZXX7,SMOD,Linear_multi,OOD,0.9949,-25.1281,linear_multi,WellD
ZXX7,SHMAX,Linear_single,OOD,0.0492,-0.1668,-0.05987 * LLD + -575.7,WellD
ZXX7,SHMAX,SVR_rbf,OOD,0.9962,-36.4801,"SVR(rbf, {'svr__C': 100, 'svr__gamma': 0.1}, y-scaled)",WellD
ZXX7,SHMAX,XGBoost,OOD,1.0,-12.343,"XGB(n=300, depth=4, lr=0.05, reg)",WellD
ZXX7,SHMAX,Poly3,OOD,0.9983,-1368843122737721.5,Poly(deg=3),WellD
ZXX7,SHMAX,Poly2,OOD,0.979,-62798186364.8674,Poly(deg=2),WellD
ZXX7,SHMAX,RF,OOD,0.9911,-11.9024,"RF(n=300, depth=10, leaf=5)",WellD
ZXX7,SHMAX,MLP_BP,OOD,0.9984,-41360.0179,"MLP-BP(128,64,32, adaptive_lr, ES)",WellD
ZXX7,SHMAX,Linear_multi,OOD,0.89,-36785.0195,linear_multi,WellD
ZXX7,YMOD,Linear_single,OOD,0.9339,0.9072,-688.8 * DTS + 1.283e+05,WellD
ZXX7,YMOD,SVR_rbf,OOD,0.9983,-0.0211,"SVR(rbf, {'svr__C': 100, 'svr__gamma': 0.1}, y-scaled)",WellD
ZXX7,YMOD,XGBoost,OOD,0.9996,0.9235,"XGB(n=300, depth=4, lr=0.05, reg)",WellD
ZXX7,YMOD,Poly3,OOD,0.9997,-989130189726.5144,Poly(deg=3),WellD
ZXX7,YMOD,Poly2,OOD,0.9996,-666626.9368,Poly(deg=2),WellD
ZXX7,YMOD,RF,OOD,0.998,0.9383,"RF(n=300, depth=10, leaf=5)",WellD
ZXX7,YMOD,MLP_BP,OOD,0.9972,-285.0133,"MLP-BP(128,64,32, adaptive_lr, ES)",WellD
ZXX7,YMOD,Linear_multi,OOD,0.9952,-9.3838,linear_multi,WellD
