well,target,model,r2_train,r2_test,mae_test,n_train,n_test,formula,well_desens
ZXX2,POIS,PySR,0.9997,0.9994,0.0005,2140,535,((-3.0159948 / RMSC) + 2.1736338) / RMSC,WellA
ZXX7,SMOD,PySR,0.9995,0.9997,0.0376,2621,655,DEN / (DTS * (DTS / 92373.625)),WellD
ZXX7,SHMAX,PySR,0.8726,-37301.6419,14735.6261,2621,655,((GR - 347.7124) * (CNL + 129.26883)) + 32232.854,WellD
ZXX7,YMOD,PySR,0.9985,0.996,722.715,2621,655,(DEN * (-17302.576 - (-2.3687538e6 / ((DTS + DEN) - 30.249458)))) + (-1139.3523 - ((DEN * -4746.7285) * (DTS / DTC))),WellD
ZXX7,POIS,PySR,0.9936,0.9962,0.0019,2621,655,(((-2.3195665 / (DTS / DTC)) + 1.4168022) / RMSC) + 0.2054327,WellD
ZXX6,SMOD,PySR,0.9966,0.9766,0.4716,915,229,(-1426.6406 / ((-6.113366 - DTS) - (DEN * -20.795698))) + -3.1048136,WellC
ZXX6,SHMAX,PySR,0.9226,-0.0428,86.1351,915,229,(AC * ((RMSC * 0.77056384) - 1.2309014)) + ((44.51636 - (AC / (CNL / -0.6362917))) - ((DEN + -8.617002) * 5.9046164)),WellC
ZXX6,YMOD,PySR,0.9975,0.9798,1160.4451,915,229,(235698.31 - (2067.1594 * DTC)) + (DTS * (-1688.1406 - ((DTC * -13.745813) + (-113.98548 * DEN)))),WellC
ZXX6,POIS,PySR,0.9994,0.9988,0.0008,915,229,(RMSC - 1.3798307) / ((RMSC * 0.45152456) * RMSC),WellC
ZXX3,SMOD,KAN,0.9988,0.4635,2.3293,3266,816,KAN_standard,WellB
ZXX3,SHMAX,KAN,0.8573,-8.8527,15.3725,3266,816,KAN_standard,WellB
ZXX3,YMOD,KAN,0.9988,0.7902,3919.352,3266,816,KAN_standard,WellB
ZXX3,POIS,KAN,0.9996,0.8993,0.0063,3266,816,KAN_standard,WellB
ZXX2,SMOD,KAN,0.9817,-1.3718,6.407,2140,535,KAN_standard,WellA
ZXX2,SHMAX,KAN,0.979,-3.7035,25.6184,2140,535,KAN_standard,WellA
ZXX2,YMOD,KAN,0.9776,0.1007,10902.7841,2140,535,KAN_standard,WellA
ZXX2,POIS,KAN,0.9998,-20.9636,0.1118,2140,535,KAN_standard,WellA
ZXX7,SMOD,KAN,0.9996,0.9278,1.0711,2621,655,KAN_standard,WellD
ZXX7,SHMAX,KAN,0.9996,-47.8348,7264.4161,2621,655,KAN_standard,WellD
ZXX7,YMOD,KAN,0.9996,0.9643,1997.9395,2621,655,KAN_standard,WellD
ZXX7,POIS,KAN,0.9961,-0.9916,0.0496,2621,655,KAN_standard,WellD
ZXX6,SMOD,KAN,0.9995,-165.6531,20.9977,915,229,KAN_standard,WellC
ZXX6,SHMAX,KAN,0.9985,0.066,116.6062,915,229,KAN_standard,WellC
ZXX6,YMOD,KAN,0.9995,-317.9799,84284.3153,915,229,KAN_standard,WellC
ZXX6,POIS,KAN,0.9997,-213.7087,0.2712,915,229,KAN_standard,WellC
